Type Frequency
the 125748
and 78846
of 70078
to 46443
a 32504
in 31959
i 30221
that 27289
he 22198
his 20585
it 19734
was 18558
for 16860
not 16834
with 16827
and 16533
is 15944
be 15844
you 14648
as 13335
all 12965
him 12924
they 11536
shall 11456
her 11153
them 10218
had 10177
have 9900
s 9792
my 9580
said 9410
me 9376
but 9252
unto 8953
from 8647
at 8642
which 8435
on 8194
by 8012
this 7706
the 7542
their 7516
she 7434
will 7130
were 6814
lord 6657
are 6642
so 6338
thou 5928
or 5901
one 5755
out 5651
man 5372
thy 5296
when 5287
there 5225
up 4955
no 4910
god 4885
your 4842
thee 4737
an 4730
but 4685
upon 4467
ye 4361
do 4250
we 4213
what 4133
into 4031
more 3978
if 3964
would 3932
very 3852
he 3636
who 3605
could 3528
been 3408
now 3397
like 3354
before 3335
any 3328
came 3313
day 3280
come 3220
know 2996
am 2925
did 2913
then 2907
than 2871
house 2850
little 2825
us 2788
people 2773
great 2769
down 2747
see 2746
made 2728
every 2710
good 2702
for 2649
say 2642
men 2641
time 2635
king 2635
israel 2591
d 2565
some 2560
it 2558
about 2530
go 2517
our 2508
should 2496
over 2495
hath 2462
may 2435
other 2421
after 2419
hand 2417
these 2400
son 2393
only 2372
mr 2350
such 2347
went 2303
even 2292
must 2274
two 2268
much 2268
against 2255
t 2227
children 2223
own 2218
then 2171
make 2166
can 2163
also 2074
again 2028
land 2021
o 1994
away 1987
thing 1966
things 1953
might 1938
well 1925
way 1913
old 1911
let 1905
yet 1867
how 1857
mrs 1851
first 1844
never 1765
himself 1697
long 1690
saying 1685
father 1673
you 1670
give 1669
shalt 1665
think 1654
what 1646
lord 1620
because 1619
being 1618
ever 1617
saw 1615
she 1612
has 1600
in 1586
heard 1585
to 1564
they 1559
those 1557
off 1552
take 1552
place 1545
without 1530
put 1528
earth 1521
many 1520
though 1498
through 1482
heart 1481
name 1481
nor 1466
too 1460
where 1460
most 1457
a 1456
so 1452
head 1450
here 1439
eyes 1417
that 1409
life 1380
whom 1345
thought 1339
nothing 1339
among 1336
done 1317
last 1305
sea 1288
word 1286
still 1279
if 1271
saith 1267
same 1265
face 1264
now 1264
its 1261
days 1258
found 1252
voice 1247
took 1237
brought 1225
world 1222
just 1202
another 1195
this 1186
as 1185
sons 1185
three 1179
hast 1176
forth 1173
night 1165
side 1163
therefore 1146
set 1145
there 1143
round 1138
young 1135
called 1128
miss 1127
mother 1124
hear 1109
david 1109
cried 1106
back 1095
seemed 1083
of 1075
pass 1072
right 1070
under 1070
love 1063
tell 1058
while 1046
words 1045
when 1041
look 1037
quite 1031
soon 1027
thine 1016
city 1014
years 1011
left 1011
hands 994
both 988
always 987
looked 983
jesus 982
neither 978
oh 970
herself 968
mine 966
together 958
sent 939
whole 936
bring 933
woman 932
seen 925
no 921
thereof 919
whale 916
we 913
speak 911
stood 910
till 908
gave 903
sure 899
high 899
soul 899
far 893
my 892
something 881
work 880
fire 879
end 873
half 868
emma 866
morning 863
moses 863
once 862
how 853
death 852
given 843
behold 839
part 838
eat 837
better 836
thou 831
jerusalem 821
according 817
judah 817
poor 805
answered 804
evil 801
water 801
cannot 799
enough 795
full 795
rather 792
his 785
thus 777
going 776
myself 776
told 776
themselves 776
let 770
hundred 766
offering 765
light 763
with 762
indeed 757
door 757
moment 754
body 753
began 753
brother 752
thousand 752
mind 751
rest 748
between 744
each 743
knew 742
all 738
sight 736
dead 732
heaven 732
whose 730
almost 725
turned 724
ship 722
find 720
room 714
wife 713
law 713
blood 710
why 707
friend 706
priest 701
gone 698
don 693
having 692
elinor 684
get 681
keep 678
home 677
new 675
ll 675
hope 666
white 660
few 657
really 656
dear 654
spake 654
gold 653
who 651
believe 644
taken 643
father 641
stand 638
none 633
marianne 632
egypt 632
art 630
behold 629
mouth 627
call 618
fear 617
known 614
sword 608
year 606
feet 605
felt 604
four 602
air 602
servant 601
strong 596
present 595
ahab 595
near 594
christ 594
sister 592
asked 591
sort 590
thus 588
peace 585
however 584
well 579
servants 579
within 577
best 574
power 574
cast 573
does 572
fathers 571
looking 567
brethren 566
why 565
five 564
anne 556
captain 555
sat 554
small 554
daughter 552
mean 547
turnbull 544
sir 543
else 541
want 538
whether 538
open 538
happy 537
live 536
seven 535
turn 533
cut 533
next 532
return 532
fell 528
child 525
holy 524
above 523
sun 523
cities 518
at 517
syme 515
certain 513
least 512
glory 511
yes 510
flesh 510
coming 509
manner 509
ground 509
hold 507
harriet 506
truth 506
spirit 505
king 505
passed 504
perhaps 503
not 502
sir 502
cause 499
sin 496
afraid 495
wish 493
leave 493
got 491
matter 491
since 490
walk 488
evening 486
eye 484
commanded 484
by 483
lay 483
therefore 482
replied 481
until 481
boy 480
john 479
family 478
fall 478
alone 476
others 473
m 473
kind 472
less 471
true 469
is 465
die 465
answer 464
towards 461
behind 461
twenty 459
times 459
tree 455
toward 455
hour 454
bread 454
drink 453
ten 453
heaven 453
black 450
midst 449
these 446
along 445
pray 442
waters 442
silver 442
one 440
money 440
war 440
weston 439
bear 438
do 438
second 437
kept 437
friends 436
saul 435
priests 433
large 431
lady 430
feel 425
macian 425
joy 424
reason 424
mighty 424
living 423
come 422
wicked 420
fine 419
course 419
field 419
from 417
spoken 415
help 415
understand 415
person 412
pleasure 411
often 410
returned 408
or 408
garden 407
ready 407
haue 406
ask 405
country 403
altar 402
dwell 400
able 399
dark 399
burnt 399
alice 399
broken 396
boat 396
written 394
short 393
nations 393
where 391
knightley 389
on 388
kings 388
women 387
strange 386
bed 386
elton 385
anything 382
table 381
ought 381
laid 381
jacob 380
sweet 379
ran 377
strength 376
itself 376
faith 374
congregation 374
judgment 373
trees 372
business 369
gate 368
her 366
chief 366
walked 365
received 364
meet 363
send 363
yet 363
brown 362
kingdom 361
son 361
glad 360
book 358
works 358
either 357
wise 357
hair 354
ham 354
certainly 353
wall 352
aaron 352
doubt 351
remember 350
red 348
opened 347
six 346
honour 344
lost 343
suddenly 341
suppose 340
knowledge 339
arm 339
which 337
here 337
meat 337
talk 336
nor 335
offer 334
month 334
deal 333
hard 333
praise 332
point 330
fruit 330
tabernacle 330
seed 329
seek 328
wood 328
lady 327
immediately 326
sound 326
making 325
wind 325
mercy 325
silence 324
top 323
solomon 321
beyond 320
letter 320
enemies 320
daughters 319
bad 319
cry 319
go 319
wilderness 319
become 318
river 318
past 317
delivered 317
wine 316
read 316
places 315
mount 314
gathered 314
ve 314
woodhouse 313
continued 313
lord 313
deep 312
stone 312
third 311
gentleman 311
rose 311
colonel 311
save 311
ye 311
thoughts 310
seeing 310
thy 310
destroy 310
ways 309
used 309
righteousness 309
husband 308
company 308
sake 308
free 308
anger 307
carried 307
fight 307
sit 306
longer 306
run 306
appeared 306
mary 306
forward 305
seem 305
low 305
party 304
fast 304
jane 303
hardly 303
sense 303
wild 303
hosts 303
shew 302
after 302
green 302
covenant 302
followed 301
possible 301
fair 301
use 300
captain 300
oil 300
god 300
died 299
already 299
darkness 299
gods 299
whale 299
ill 298
judge 298
babylon 298
born 296
care 295
close 295
idea 294
common 294
comes 293
fish 293
the 293
vain 292
chapter 291
means 290
battle 290
susan 290
yourself 289
morrow 289
thyself 289
spoke 288
