Type Frequency
the 58251
of 35979
to 34035
in 26478
said 25224
and 25043
a 23492
mln 18037
vs 14120
for 12785
dlrs 11730
the 10968
s 9298
pct 9093
it 8842
lt 8694
on 8556
from 7986
cts 7953
is 7580
that 7377
its 7265
by 6872
at 6537
u 6388
s 6382
year 6310
be 6288
with 5945
will 5856
was 5787
billion 5652
has 4679
would 4634
loss 4528
company 4399
an 4349
not 4250
as 4229
which 3661
he 3560
net 3381
or 3208
are 3203
shr 3202
were 3084
have 3067
last 3004
share 2953
had 2947
this 2886
profit 2821
inc 2771
about 2723
one 2584
shares 2525
oil 2518
market 2497
also 2483
two 2441
but 2429
corp 2405
tonnes 2375
stock 2346
revs 2283
trade 2271
to 2257
up 2085
been 2066
it 2060
qtr 2053
net 2046
they 2033
per 2027
april 1978
prices 1951
after 1865
march 1864
than 1771
quarter 1766
more 1750
bank 1718
new 1698
price 1663
february 1630
rate 1624
he 1614
january 1613
a 1611
japan 1594
government 1567
net 1558
week 1538
offer 1537
three 1505
other 1486
in 1479
bank 1472
co 1462
dollar 1462
could 1431
against 1428
told 1424
first 1363
over 1361
their 1345
agreement 1336
expected 1327
today 1320
inc 1315
tax 1311
in 1296
production 1283
month 1266
sales 1262
interest 1253
no 1249
rose 1249
if 1227
rates 1211
ltd 1209
foreign 1209
five 1203
some 1198
dlr 1184
all 1164
but 1157
rise 1145
group 1140
increase 1136
added 1112
end 1110
stg 1102
note 1099
total 1088
current 1086
meeting 1065
avg 1062
shrs 1056
between 1053
oper 1048
common 1042
because 1041
may 1033
under 1033
exchange 1032
growth 1019
official 1009
ec 999
exports 994
months 993
into 993
made 983
corp 958
six 956
spokesman 952
earlier 941
earnings 936
major 935
december 928
four 922
there 919
japanese 916
cash 915
countries 911
sale 910
we 905
now 902
agreed 902
operations 894
any 888
board 882
west 873
sales 873
banks 869
when 866
may 865
export 862
fell 855
sources 850
compared 847
report 843
due 842
mths 840
years 839
down 838
officials 836
united 836
around 835
yen 834
industry 833
should 827
includes 826
international 822
companies 819
american 817
while 812
further 803
only 798
new 797
world 794
investment 793
business 792
shareholders 787
time 786
economic 784
statement 784
cut 781
imports 776
shr 772
wheat 766
debt 764
next 763
reported 761
out 760
k 756
of 750
for 749
markets 748
deficit 747
before 743
4th 742
gain 741
record 741
since 741
buy 734
money 733
i 732
lower 729
nine 727
june 726
period 726
says 725
pct 717
through 715
analysts 708
take 708
ended 706
higher 704
products 703
dividend 698
based 693
we 690
prior 686
announced 683
o 683
currency 676
year 672
reserves 670
figures 667
trading 666
acquisition 658
group 654
policy 653
did 647
stake 645
states 643
such 642
term 640
ago 639
surplus 638
financial 637
demand 636
high 636
european 633
day 632
merger 632
his 631
unit 629
central 625
commission 625
department 622
fall 621
during 621
annual 620
tender 619
domestic 618
yesterday 617
set 612
who 606
plan 602
owned 601
capital 601
same 600
subsidiary 599
gas 598
half 595
this 593
outstanding 593
assets 593
still 587
loss 587
both 587
sell 584
can 584
mln 580
average 575
canada 573
long 572
level 571
output 568
economy 565
expects 563
they 562
credit 562
recent 561
chairman 560
nil 560
div 560
marks 559
likely 558
estimated 556
increased 556
federal 555
talks 554
canadian 554
crude 551
eight 551
national 550
income 548
year 546
continue 545
sugar 543
being 543
make 542
seven 540
well 539
usda 537
value 535
plans 535
qtr 535
proposed 530
system 530
3rd 528
including 527
held 527
nine 527
minister 526
dlrs 526
1st 526
part 525
early 524
previous 521
reuters 520
previously 518
sold 518
non 517
agriculture 516
results 516
so 512
each 511
fiscal 510
record 510
most 509
state 506
exchange 506
south 504
purchase 502
opec 499
country 497
trade 497
president 496
days 494
supply 490
producers 489
bid 488
terms 485
firm 484
second 483
acquire 483
forecast 481
september 481
costs 479
gold 478
much 478
sets 478
levels 477
bought 477
pay 475
operating 468
program 466
bpd 466
grain 465
bank 464
brazil 459
do 458
include 458
issue 458
gulf 457
on 457
management 455
our 452
off 451
proposal 451
below 450
traders 450
industrial 449
already 448
york 448
soviet 447
german 445
corn 445
cost 444
result 441
loan 439
split 437
move 436
acquired 436
qtly 435
full 433
international 430
securities 430
third 429
pay 427
barrels 427
dealers 425
very 421
oil 421
july 421
help 420
decline 417
action 416
china 414
short 413
profits 412
low 410
crop 410
however 410
another 409
union 409
germany 406
budget 405
inflation 405
cts 405
adjusted 405
until 403
fed 403
them 402
t 402
say 402
francs 401
future 400
note 400
nations 399
might 399
change 399
less 399
l 398
general 397
coffee 396
completed 395
reagan 395
what 394
public 393
securities 391
funds 389
account 388
above 388
payments 387
possible 386
losses 386
goods 385
largest 384
british 384
sees 383
co 382
m 381
declined 380
support 380
drop 380
amount 378
and 377
n 377
those 375
reduce 375
bill 375
strong 375
open 374
paris 374
approval 373
subject 372
unit 371
noted 369
private 369
basis 368
import 365
fourth 364
stocks 362
ministry 362
here 362
point 362
approved 361
president 361
effective 361
revenues 360
intervention 358
there 356
close 356
following 354
sector 354
making 352
cents 352
barrel 350
house 349
washington 348
october 348
these 348
transaction 348
french 348
first 346
number 345
several 341
does 341
department 338
large 336
called 336
plc 336
balance 335
contract 335
baker 335
deal 335
raised 334
finance 334
show 334
london 334
takeover 334
loans 333
accord 333
oil 333
pact 331
used 331
decision 330
revised 330
trade 330
good 330
farm 330
need 329
target 327
community 326
comment 326
members 325
bundesbank 325
additional 325
petroleum 324
consumer 323
analyst 322
must 322
secretary 322
conference 322
control 322
preferred 322
within 321
past 321
own 320
association 320
back 319
treasury 319
whether 318
group 318
if 317
use 317
late 317
gains 317
later 316
texas 315
tonne 313
plant 313
certain 313
weeks 313
available 313
excludes 311
currently 310
paid 310
see 310
product 310
issued 310
way 309
friday 308
quota 308
put 306
least 306
development 306
area 306
real 304
remain 303
according 302
world 302
reserve 301
executive 301
reached 301
industries 299
received 299
line 299
discontinued 299
given 298
offered 298
jan 298
many 297
give 297
japan 295
just 295
effect 293
monetary 292
conditions 291
dividend 291
buying 290
name 289
extraordinary 288
saying 287
think 285
base 284
quotas 284
firms 282
asked 281
signed 280
special 280
taiwan 279
measures 279
c 279
pacific 279
futures 278
buffer 278
news 278
chief 277
meet 276
f 276
stake 276
feb 276
payable 276
far 275
farmers 275
raise 275
currencies 275
expect 274
main 274
work 272
services 272
areas 272
iran 272
position 271
committee 270
one 270
france 270
fed 270
showed 269
saudi 269
data 268
unchanged 268
final 268
present 268
reduced 267
charge 267
rising 266
under 264
planned 264
november 263
letter 263
how 262
negotiations 262
continued 262
lead 261
index 260
without 260
season 260
reporters 259
led 259
member 258
respectively 258
joint 257
range 257
units 257
rights 257
pressure 256
national 256
as 256
economists 256
raises 256
where 255
worth 255
restructuring 254
producer 253
at 252
general 251
banking 251
investors 251
even 251
selling 250
energy 250
senior 249
britain 249
latest 248
provide 248
bills 248
for 248
problems 247
august 247
administration 247
come 247
then 246
congress 245
start 244
rate 244
impact 243
b 243
cocoa 243
australia 242
hold 242
payment 242
too 241
gatt 241
tokyo 240
england 240
little 240
financing 240
ministers 240
purchases 239
ending 239
payout 239
taken 238
near 237
2nd 237
marketing 236
probably 236
agreements 236
capacity 235
holding 235
may 233
monday 233
money 233
north 233
figure 233
free 233
spending 232
go 232
on 231
date 231
market 230
among 229
changes 229
board 228
included 228
recently 228
at 228
and 227
despite 227
ltd 227
commercial 226
energy 226
addition 226
response 226
commerce 226
tons 225
usair 225
